effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-2.4925904240675893,0.23950969863967755,-10.407054237154231,10.499829853575456,7.348259802732697e-7,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,cwc_centered,-0.8498547484810202,3.3457073995556375,-0.25401347069199604,24.122410053197246,0.8016378460558876,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__(Intercept),0.3227095345862255,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__(Intercept),0.632982318207839,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,cor__(Intercept).cwc_centered,-0.9999999936828509,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__cwc_centered,4.027185237304847,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,Residual,sd__Observation,0.5416409666925732,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,(Intercept),-2.657623326155678,0.36035916669986795,-7.374929158855367,13.436715560885466,4.438404203626321e-6,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,cwc,0.28456262723373743,2.3112304371603405,0.12312170290702867,38.99273953033802,0.9026431669440353,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,time_seasonbefore leafout,0.3668157469826777,0.4057360216656932,0.9040748846423995,8.571757634354919,0.39065634251567316,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__(Intercept),0.4203392965953103,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,cor__(Intercept).cwc,-1,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__cwc,3.5191061807929906,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__(Intercept),0.6095808181010778,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,site,sd__(Intercept),0.3960181446132024,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,Residual,sd__Observation,0.4710357850363602,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,(Intercept),-2.657623326155678,0.36035916669986795,-7.374929158855367,13.436715560885466,4.438404203626321e-6,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,cwc,0.28456262723373743,2.3112304371603405,0.12312170290702867,38.99273953033802,0.9026431669440353,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,time_seasonbefore leafout,0.3668157469826777,0.4057360216656932,0.9040748846423995,8.571757634354919,0.39065634251567316,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__(Intercept),0.4203392965953103,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,cor__(Intercept).cwc,-1,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__cwc,3.5191061807929906,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__(Intercept),0.6095808181010778,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,site,sd__(Intercept),0.3960181446132024,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,Residual,sd__Observation,0.4710357850363602,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
NA,NA,NA,NA,NA,NA,NA,NA,space,88,0.5440468495316007,-88.95888665066411,191.91777330132822,209.25913100267567,177.91777330132822,81,NA,0.0015508403098852762,0.5963527070853064,cwc
NA,NA,NA,NA,NA,NA,NA,NA,time,104,0.4710357850363602,-92.55824568750849,203.11649137501698,226.9160094672893,NA,95,185.11649137501698,0.04072971349683413,0.7422471565804749,cwc
NA,NA,NA,NA,NA,NA,NA,NA,interaction,104,0.47309963748096584,-89.90427736554271,199.80855473108542,226.25246372249916,NA,94,179.80855473108542,0.04366656658283379,0.7357272705966015,cwc
